Time Elapsed (ms), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Mag X (uT), Mag Y (uT), Mag Z (uT), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)

745,0.02,5.79,7.55,-28.44,-2.98,-12.13,0.03,-0.08,-0.01

757,-0.07,6.03,7.40,-28.94,-2.37,-11.69,0.04,-0.06,0.01

818,-0.11,5.89,7.55,-28.24,-2.84,-12.45,0.02,-0.07,-0.01

878,-0.01,5.84,7.52,-28.44,-2.69,-12.72,0.07,-0.09,-0.01

940,0.03,5.82,7.74,-28.76,-2.48,-12.66,0.03,-0.08,-0.02

1000,-0.02,5.99,7.60,-29.00,-3.16,-12.77,0.05,-0.08,-0.01

1063,-0.04,5.90,7.58,-29.20,-2.40,-12.42,0.04,-0.08,-0.01

1125,0.01,5.92,7.66,-29.26,-2.60,-12.54,0.05,-0.08,-0.02

1187,0.01,5.91,7.63,-28.68,-2.31,-12.63,0.05,-0.08,-0.01

1248,0.01,5.89,7.59,-28.88,-1.93,-12.77,0.04,-0.08,-0.01

1309,-0.05,5.91,7.58,-29.17,-2.60,-12.63,0.05,-0.08,-0.01

1372,-0.02,5.91,7.53,-28.79,-2.10,-12.60,0.04,-0.08,-0.01

1434,0.01,5.92,7.61,-28.73,-2.28,-12.36,0.04,-0.08,-0.01

1496,-0.05,5.84,7.59,-28.97,-2.08,-12.77,0.04,-0.08,-0.01

1558,-0.05,5.94,7.54,-28.65,-2.19,-12.74,0.05,-0.08,-0.01

1632,0.00,5.83,7.57,-28.65,-2.31,-11.90,0.05,-0.08,-0.01

1682,-0.05,5.92,7.57,-28.85,-2.57,-12.36,0.05,-0.08,-0.01

1745,-0.05,5.89,7.60,-28.41,-2.37,-11.84,0.05,-0.08,-0.01

1807,-0.03,5.89,7.61,-29.17,-2.51,-13.07,0.04,-0.08,-0.01

1870,-0.06,5.98,7.62,-28.85,-2.48,-12.83,0.04,-0.08,-0.01

1932,0.01,5.92,7.54,-29.14,-3.13,-11.96,0.05,-0.08,-0.01

1993,-0.04,5.92,7.63,-29.11,-2.81,-11.96,0.04,-0.08,-0.01

2056,0.02,5.91,7.63,-29.26,-2.89,-12.31,0.05,-0.08,-0.01

2117,-0.01,5.94,7.65,-28.76,-2.89,-12.28,0.05,-0.08,-0.01

2180,-0.01,5.92,7.60,-28.88,-2.86,-12.39,0.04,-0.08,-0.01

2242,1.77,5.91,7.59,-28.41,-2.51,-11.90,0.04,-0.08,-0.01

2304,0.00,5.96,7.65,-28.50,-2.57,-12.92,0.04,-0.08,-0.01

2365,0.01,5.94,7.55,-29.20,-2.81,-12.95,0.05,-0.08,-0.01

2427,-0.04,5.86,7.67,-28.76,-2.81,-12.69,0.05,-0.08,-0.01

2489,-0.01,5.81,7.55,-28.76,-2.98,-12.45,0.05,-0.08,-0.01

2563,-0.04,5.95,7.59,-29.06,-3.01,-12.10,0.06,-0.08,-0.01

2614,0.03,5.87,7.65,-28.65,-2.92,-12.07,0.04,-0.08,-0.01

2675,0.02,5.87,7.61,-28.62,-2.84,-12.13,0.04,-0.08,-0.01

2737,0.01,5.92,7.63,-28.73,-2.72,-11.72,0.05,-0.08,-0.01

2798,-0.01,5.84,7.52,-29.17,-2.51,-12.48,0.05,-0.09,-0.01

2861,-0.01,5.94,7.70,-28.88,-2.75,-12.19,0.05,-0.08,-0.01

2923,-0.02,5.84,7.57,-28.71,-2.28,-12.19,0.05,-0.08,-0.01

2986,-0.07,5.89,7.55,-28.76,-2.84,-11.46,0.04,-0.08,-0.01

3048,-0.04,5.89,7.62,-29.26,-2.89,-12.63,0.05,-0.08,-0.01

3111,-0.01,5.82,7.62,-29.23,-2.78,-11.90,0.04,-0.08,-0.01

3173,-0.06,6.00,7.57,-29.17,-2.40,-12.04,0.05,-0.08,-0.01

3236,0.02,5.97,7.54,-28.85,-2.63,-11.63,0.04,-0.08,-0.01

3297,1.76,5.90,7.55,-28.76,-2.08,-11.72,0.05,-0.08,-0.01

3358,-0.04,5.97,7.57,-28.65,-2.16,-12.25,0.05,-0.08,-0.01

3421,0.00,5.89,7.55,-29.09,-2.84,-12.01,0.04,-0.08,-0.01

3494,-0.02,5.84,7.62,-29.26,-2.75,-12.10,0.05,-0.08,-0.01

3544,0.00,5.94,7.61,-28.53,-2.75,-11.81,0.05,-0.08,-0.01

3605,0.02,5.88,7.63,-29.06,-2.63,-11.63,0.05,-0.09,-0.01

3667,0.01,5.92,7.62,-28.97,-2.92,-11.55,0.05,-0.08,-0.01

3728,-0.05,5.89,7.94,-28.91,-2.75,-12.07,-0.01,-0.08,-0.02

3792,0.00,5.84,7.84,-29.26,-2.31,-11.11,0.40,-0.14,0.03

3852,-0.14,5.61,7.66,-29.52,-2.08,-12.01,0.19,-0.02,0.08

3913,0.02,5.54,7.99,-29.67,-1.52,-11.46,-0.02,-0.07,-0.02

3976,-0.50,6.72,6.16,-28.88,-1.67,-11.11,-1.19,-0.28,0.04

4038,-0.14,7.67,11.69,-28.62,-1.93,-12.69,-0.07,0.33,0.05

4101,-0.50,7.65,8.02,-27.39,-1.70,-16.34,-0.24,-0.53,0.64

4163,0.17,5.98,6.62,-28.21,-2.37,-21.16,-0.17,-0.25,0.45

4225,-1.65,2.03,5.38,-28.91,-4.44,-22.10,-0.36,-1.28,0.64

4287,-0.61,3.30,1.60,-32.53,-3.24,-20.02,0.04,-1.90,0.98

4349,-4.92,15.25,8.28,-31.31,-3.36,-18.42,-1.24,1.49,-0.74

4423,-1.25,8.24,7.82,-28.21,-3.51,-23.33,0.51,-0.53,-0.53

4475,0.24,-3.51,2.83,-27.33,-4.44,-25.58,0.49,-0.41,1.35

4536,1.62,4.57,3.27,-29.03,-1.87,-23.82,-0.68,0.26,-0.50

4597,-5.36,21.19,11.56,-27.33,-5.35,-20.52,-0.16,2.22,-0.37

4662,0.16,5.26,8.20,-24.67,-4.68,-24.35,0.39,-1.42,-0.73

4723,-1.26,-3.21,3.37,-26.98,-4.74,-24.12,0.16,0.22,1.58

4785,-2.29,11.61,6.67,-29.67,-3.98,-22.27,-0.56,-2.04,-0.58

4849,-1.72,13.43,8.53,-28.21,-7.16,-21.16,1.15,2.07,-1.52

4912,1.27,-11.87,0.54,-27.57,-4.71,-25.46,0.11,-0.84,3.65

4974,-1.43,19.64,7.81,-29.64,-4.79,-20.05,-1.47,0.05,-3.52

5038,0.52,8.69,10.94,-26.22,-7.51,-22.33,1.69,2.32,-0.23

5099,1.17,-4.77,5.69,-26.72,-4.06,-23.91,-1.19,-1.27,2.29

5162,-1.16,26.93,6.51,-27.80,-7.63,-18.18,-1.34,-1.21,-2.33

5226,-9.63,-15.52,2.20,-24.88,-6.55,-25.23,1.25,-0.11,2.09

5290,3.80,14.81,8.10,-28.21,-5.17,-20.64,-0.72,-1.43,-1.89

5364,-0.32,7.24,3.91,-25.93,-7.75,-22.77,1.24,2.79,0.73

