Time Elapsed (ms), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Mag X (uT), Mag Y (uT), Mag Z (uT), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)
5414,2.30,-0.16,8.60,-23.94,-4.44,-24.90,-0.72,0.08,1.79

5475,-1.92,17.63,3.68,-27.59,-6.61,-19.18,0.52,-1.74,-1.57

5539,-0.33,0.76,7.07,-26.57,-5.64,-21.34,0.04,1.66,1.19

5599,-0.01,11.44,6.64,-26.51,-5.90,-21.02,0.14,-1.33,-0.64

5662,-0.34,7.68,6.12,-26.78,-6.43,-21.66,-0.30,0.56,0.22

5724,-0.66,5.52,5.79,-26.07,-7.54,-23.18,0.07,-0.33,0.13

5785,-2.06,3.12,7.63,-26.34,-6.93,-23.03,0.06,0.15,0.18

5846,-0.48,18.18,3.96,-27.62,-8.13,-19.47,0.39,-2.21,-1.09

5909,-2.07,0.26,2.76,-27.07,-6.02,-23.56,0.39,1.45,1.27

5970,0.57,4.49,12.73,-25.81,-3.89,-23.30,-0.99,0.49,0.19

6031,-4.67,17.72,2.19,-26.72,-6.93,-21.19,0.87,-1.14,-1.61

6095,3.44,-6.02,6.93,-26.07,-3.39,-25.14,-0.89,1.19,2.95

6156,-0.94,25.15,6.27,-27.07,-6.55,-20.61,-0.37,-3.20,-3.38

6220,-0.67,-13.80,0.64,-28.59,-4.85,-23.30,0.17,0.51,3.31

6294,-0.28,24.93,7.29,-27.74,-6.61,-18.97,-0.45,-0.77,-3.62

6347,1.10,3.85,2.75,-26.25,-6.64,-21.57,1.43,0.92,2.48

6407,5.12,8.92,8.41,-25.99,-4.50,-21.54,-1.17,0.19,-1.60

6467,-2.88,13.86,3.27,-26.45,-7.42,-18.91,0.32,-0.63,-0.49

6531,2.46,1.61,7.76,-26.19,-4.97,-21.63,-0.65,0.78,0.59

6591,-0.79,14.51,4.75,-26.60,-7.69,-18.21,0.16,-1.16,-0.90

6655,-0.09,4.53,4.97,-27.04,-7.89,-21.16,-0.02,0.12,0.75

6716,-0.25,7.55,5.52,-26.31,-8.18,-22.42,0.08,-0.35,-0.34

6779,0.47,10.39,6.75,-25.52,-8.83,-23.30,0.75,-0.49,-0.06

6841,-0.22,8.05,5.70,-24.90,-9.12,-25.37,1.01,-0.03,-0.05

6903,0.01,5.50,5.80,-23.36,-10.23,-28.27,0.12,0.56,-0.03

6965,-0.24,3.31,4.90,-21.66,-9.73,-28.65,0.91,-1.24,0.29

7026,-0.68,-2.49,-1.11,-26.37,-5.93,-27.13,-0.16,-1.09,1.05

7091,1.46,19.40,10.37,-24.20,-8.27,-22.62,-2.52,4.24,-2.41

7154,2.99,12.29,9.81,-21.22,-7.78,-22.77,1.21,-1.69,0.19

7227,2.33,9.93,7.06,-22.57,-9.44,-25.49,0.10,0.18,-0.24

7276,0.01,8.46,6.95,-20.23,-11.81,-27.86,0.92,-0.43,-0.98

7339,0.35,2.97,2.38,-19.58,-11.37,-30.78,0.92,-1.32,0.98

7400,-0.55,-12.12,-2.71,-26.54,-8.18,-28.15,0.58,-3.30,2.15

7465,4.38,31.38,8.69,-26.66,-9.62,-21.60,-2.21,5.33,-3.77

7527,5.36,7.80,14.79,-18.97,-9.12,-27.24,1.74,0.96,-0.27

7589,0.67,3.67,3.34,-21.40,-9.24,-28.97,-0.28,-2.13,0.78

7650,0.89,5.36,6.37,-21.57,-10.32,-29.17,-0.10,0.74,-0.12

7712,-0.11,6.07,5.10,-21.57,-11.55,-28.56,-0.04,-1.71,0.34

7776,0.57,11.79,6.53,-22.92,-11.72,-28.33,-0.67,0.35,-0.25

7839,-0.41,4.15,8.20,-19.58,-14.03,-29.55,1.66,-0.06,-0.23

7903,2.34,1.11,-3.98,-29.76,-5.26,-25.69,-0.98,-5.90,1.98

7965,-4.24,26.69,8.05,-20.40,-10.55,-24.35,-4.49,7.88,-2.63

8030,5.08,6.44,11.46,-12.74,-5.06,-30.55,0.52,-3.78,-0.93

8092,2.38,7.47,3.02,-18.01,-6.46,-28.24,-0.06,-0.82,0.36

8165,2.42,6.79,6.22,-18.30,-7.78,-27.74,-0.60,0.23,0.37

8214,1.69,7.81,7.01,-18.12,-8.36,-28.44,-0.00,-0.24,0.37

8276,1.40,7.75,5.33,-18.82,-9.53,-28.09,0.38,-1.12,0.54

8336,0.52,5.48,4.68,-20.46,-9.35,-27.59,-0.01,-0.34,0.26

8398,0.61,8.13,6.04,-20.34,-10.11,-27.65,0.18,-0.15,-0.00

8460,0.89,7.71,5.86,-20.02,-10.14,-26.78,-0.04,0.03,-0.17

8522,1.13,7.60,5.51,-19.20,-10.49,-27.36,0.02,0.19,-0.04

8584,0.88,7.60,6.83,-18.94,-10.46,-27.80,0.20,-0.42,-0.15

8646,0.90,8.69,5.08,-19.79,-10.32,-28.44,0.00,-0.43,-0.05

8709,1.41,10.19,5.95,-19.29,-11.93,-27.95,-0.32,0.27,-0.13

8772,0.22,6.53,9.10,-16.37,-13.53,-29.64,0.28,0.02,-0.05

8834,0.32,8.59,4.53,-16.49,-14.06,-29.49,0.68,-0.53,-0.79

8896,1.76,-2.53,1.59,-15.64,-14.70,-30.14,1.91,-1.33,1.99

8959,-1.15,-2.10,-15.01,-34.73,2.69,-23.38,-1.06,3.58,-2.38

9023,0.52,18.94,-3.42,-19.94,-11.05,-23.44,0.70,0.01,-1.92

9098,6.47,12.86,3.73,-21.02,-0.99,-25.37,0.11,-6.42,0.66

9148,0.14,4.82,1.87,-23.76,-2.37,-27.48,-0.16,1.69,-0.00

9210,0.44,6.55,8.31,-20.61,-6.20,-29.96,0.45,-0.36,-0.52

9271,0.19,8.43,3.01,-22.33,-6.28,-28.56,-0.13,-0.61,0.48

9332,0.32,7.37,7.37,-21.78,-7.42,-28.18,-0.36,0.11,-0.27

9394,0.19,7.84,4.00,-22.19,-8.07,-27.48,0.48,-0.86,0.29

9454,0.02,7.25,5.39,-22.19,-7.78,-27.19,-0.08,-0.21,-0.28

9516,0.45,7.76,6.55,-22.13,-7.89,-27.04,0.24,-0.59,-0.36

9577,0.77,7.69,6.02,-23.09,-7.75,-26.37,0.01,0.06,0.10

9637,0.20,7.65,6.05,-24.09,-6.99,-24.99,0.58,-1.63,0.98

9697,-0.17,6.64,4.58,-26.31,-7.04,-24.12,-0.23,-0.81,-0.17

9760,-0.06,6.92,7.07,-27.04,-7.07,-23.50,-0.27,-0.05,-0.19

9824,-1.12,7.33,5.48,-28.15,-7.63,-23.36,-0.23,-0.48,0.17

9886,-0.78,8.03,5.70,-29.09,-7.48,-21.81,0.04,-0.39,-0.15

9949,-1.18,7.27,5.53,-29.47,-7.57,-20.17,-0.26,-0.51,0.08

10023,-1.24,7.50,4.85,-30.99,-7.51,-19.44,0.14,-0.29,-0.13

10075,-1.09,7.70,6.14,-30.40,-7.63,-19.53,-0.22,0.01,-0.06

10138,-0.93,7.59,4.80,-30.20,-7.10,-18.74,-0.18,-0.12,-0.08

10203,-0.90,7.74,5.79,-30.93,-7.42,-18.06,-0.23,-0.03,-0.19

10267,-0.93,7.71,4.88,-30.63,-7.48,-16.98,-0.20,-0.05,-0.41

10332,-0.72,8.26,5.41,-31.19,-7.48,-16.34,-0.12,-0.35,-0.12

10396,-0.52,7.56,5.10,-31.22,-7.10,-15.43,-0.09,-0.16,-0.29

10461,-0.86,8.56,4.62,-31.34,-7.42,-14.59,0.13,-0.06,0.02

10523,-0.78,7.94,4.76,-31.86,-6.64,-14.24,-0.08,-0.27,-0.22

10588,-0.34,8.22,4.96,-31.51,-6.55,-12.77,-0.12,-0.06,-0.13

10652,5.11,7.83,13.17,-31.39,-6.58,-12.39,0.72,1.01,-0.58

10715,-0.01,8.15,4.57,-30.46,-5.52,-13.24,0.32,-0.11,-0.10

10778,-0.31,8.55,5.48,-31.28,-4.91,-12.95,0.48,-0.25,0.18

10841,-0.11,7.80,6.04,-31.16,-4.27,-13.88,0.14,0.12,-0.04

10903,-0.01,7.98,4.69,-31.77,-4.00,-13.94,0.21,-0.00,-0.09

10978,1.16,5.30,6.09,-30.84,-3.86,-13.71,-0.24,-1.02,-0.50

11030,-0.45,7.70,5.05,-31.25,-6.78,-12.10,-0.51,-1.33,-0.36

11095,0.39,8.00,5.35,-31.25,-9.47,-10.76,0.29,-0.46,-0.47

11157,-0.21,7.91,5.16,-30.11,-10.46,-10.20,0.70,-0.96,-0.13

11222,-0.12,6.89,4.49,-30.11,-11.11,-9.59,0.82,-0.60,0.14

11284,-1.15,6.79,9.32,-29.82,-11.05,-9.85,1.32,0.29,-0.02

11347,-0.37,7.16,5.19,-29.96,-10.73,-11.22,1.01,0.43,-0.12

11410,0.17,6.63,7.59,-30.02,-9.73,-11.20,0.57,-0.47,-0.29

11473,0.02,6.01,4.28,-30.37,-9.15,-11.63,-0.25,0.20,0.18

11534,0.47,6.90,6.73,-29.73,-9.27,-11.96,-0.43,0.18,0.14

11595,0.62,8.25,11.05,-29.70,-8.01,-12.16,-0.43,0.67,0.49

11658,0.37,6.96,9.05,-30.25,-6.49,-11.98,-0.32,0.09,0.14

11719,-0.31,5.40,6.69,-30.20,-5.99,-12.25,-0.07,0.10,0.16

11782,0.10,6.68,7.00,-31.04,-5.79,-11.96,0.04,-0.08,-0.01

11844,0.03,6.82,6.68,-30.17,-5.70,-11.46,0.05,-0.08,-0.01

11918,0.12,6.71,6.72,-31.04,-5.96,-12.13,0.04,-0.08,-0.01

11969,0.06,6.75,6.80,-30.69,-5.79,-12.83,0.06,-0.08,-0.01

12032,0.06,6.71,6.86,-31.16,-6.52,-12.51,0.04,-0.00,-0.01

12094,0.04,6.78,6.76,-30.40,-5.93,-12.31,0.05,-0.08,-0.01

12157,0.07,6.74,6.90,-30.43,-6.20,-12.36,0.04,-0.08,-0.01

12219,0.09,6.84,6.76,-29.85,-6.28,-11.81,0.05,-0.08,-0.01

12282,0.04,6.81,6.83,-30.49,-6.11,-11.72,0.05,-0.08,-0.01

12344,0.09,6.69,6.81,-30.08,-6.17,-11.69,0.05,-0.09,-0.01

12406,0.04,6.71,6.80,-30.43,-6.17,-11.69,0.04,-0.08,-0.01

12469,0.07,6.83,6.86,-29.76,-5.64,-11.81,0.04,-0.08,-0.01

12531,0.04,6.73,6.75,-30.23,-5.99,-11.55,0.04,-0.08,-0.01

12594,0.03,6.73,6.79,-30.49,-5.76,-12.19,0.05,-0.08,-0.01

12656,0.04,6.74,6.73,-30.14,-6.08,-11.90,0.05,-0.08,-0.01

12719,0.10,6.71,6.83,-30.63,-6.26,-12.57,0.05,-0.08,-0.01

12781,0.10,6.83,6.75,-31.22,-6.05,-12.25,0.05,-0.08,-0.01

12855,0.05,6.69,6.73,-30.61,-5.96,-12.01,0.04,-0.08,-0.01

12906,0.14,6.82,6.77,-30.34,-5.85,-12.10,0.04,-0.08,-0.01

12969,0.03,6.70,6.78,-30.43,-6.08,-12.13,0.05,-0.08,-0.01

13031,0.04,6.70,6.75,-29.99,-6.26,-12.51,0.04,-0.08,-0.01

13094,0.09,6.73,6.73,-30.55,-5.73,-11.78,0.05,-0.08,-0.01

13156,0.09,6.79,6.85,-31.01,-5.90,-12.16,0.05,-0.08,-0.01

13219,0.06,6.73,6.88,-30.52,-6.61,-11.90,0.05,-0.08,-0.01

13281,0.06,6.81,6.90,-30.75,-5.67,-11.72,0.04,-0.08,-0.01

13343,0.11,6.73,6.79,-30.75,-5.50,-11.96,0.05,-0.08,-0.01

13406,0.06,6.77,6.73,-30.55,-5.73,-11.11,0.05,-0.08,-0.01

13468,0.07,6.68,6.73,-30.34,-5.52,-11.28,0.05,-0.08,-0.01

13531,0.06,6.75,6.74,-30.58,-5.52,-11.63,0.05,-0.08,-0.01

13593,0.06,6.73,6.80,-30.08,-5.29,-11.58,0.05,-0.08,-0.01

13656,0.12,6.81,6.81,-30.78,-5.38,-11.98,0.05,-0.08,-0.01

13718,0.03,6.75,6.75,-30.55,-5.17,-11.87,0.05,-0.08,-0.01

13792,0.06,6.69,6.75,-31.01,-6.05,-12.13,0.04,-0.08,-0.01

13843,0.06,6.76,6.83,-30.84,-5.52,-11.72,0.04,-0.08,-0.01

13906,0.03,6.78,6.88,-30.40,-5.55,-12.31,0.04,-0.08,-0.01

13968,0.09,6.63,6.77,-30.58,-5.41,-11.75,0.05,-0.08,-0.01

14031,0.06,6.80,6.81,-30.46,-5.52,-11.90,0.05,-0.08,-0.01

14093,0.02,6.71,6.75,-30.78,-5.85,-11.63,0.04,-0.08,-0.01

14155,0.13,6.80,6.79,-30.49,-6.11,-12.22,0.04,-0.08,-0.01

14218,0.05,6.78,6.81,-30.28,-5.79,-11.81,0.05,-0.09,-0.01

14280,0.06,6.71,6.75,-30.40,-6.17,-11.52,0.05,-0.08,-0.01

14342,0.10,6.72,6.78,-29.99,-6.08,-11.81,0.04,-0.08,-0.01

14404,0.07,6.71,6.79,-30.55,-6.34,-11.58,0.05,-0.08,-0.01

14467,0.09,6.77,6.74,-30.84,-6.02,-11.75,0.05,-0.08,-0.01

14529,0.04,6.75,6.77,-29.82,-5.73,-11.72,0.04,-0.08,-0.01

14592,0.11,6.70,6.74,-30.63,-5.73,-11.81,0.05,-0.08,-0.01

14654,0.06,6.78,6.73,-30.63,-5.90,-11.49,0.04,-0.08,-0.01

14729,0.11,6.74,6.77,-30.84,-5.90,-12.16,0.05,-0.08,-0.01

14779,0.08,6.71,6.77,-31.07,-6.08,-11.75,0.05,-0.08,-0.01

14842,0.05,6.74,6.73,-30.31,-5.76,-11.49,0.04,-0.08,-0.01

14904,0.13,6.74,6.78,-30.84,-5.64,-11.96,0.05,-0.08,-0.01

14966,0.10,6.79,6.72,-31.07,-5.99,-11.66,0.05,-0.08,-0.01

15029,0.10,6.72,6.75,-30.58,-5.73,-10.79,0.04,-0.08,-0.01

15091,0.05,6.70,6.75,-30.46,-6.17,-12.31,0.05,-0.08,-0.01

15154,0.11,6.71,6.77,-30.69,-5.79,-11.40,0.05,-0.08,-0.01

15216,0.04,6.73,6.80,-30.37,-5.23,-11.78,0.05,-0.09,-0.01

15279,0.04,6.76,6.84,-30.17,-5.44,-11.31,0.05,-0.08,-0.01

15341,0.06,6.73,6.83,-30.58,-6.14,-11.72,0.04,-0.09,-0.01

15404,0.03,6.78,6.77,-30.17,-5.61,-11.20,0.05,-0.08,-0.01

15466,0.15,6.80,6.69,-30.87,-5.67,-11.55,0.04,-0.08,-0.01

15529,0.02,6.77,6.68,-31.28,-4.94,-12.51,0.05,-0.08,-0.01

15591,0.09,6.72,6.75,-31.10,-5.50,-12.28,0.04,-0.08,-0.01

15665,0.04,6.77,6.79,-31.19,-6.34,-11.87,0.05,-0.08,-0.01

15716,0.09,6.75,6.81,-31.04,-5.52,-12.60,0.05,-0.09,-0.01

15779,0.46,6.93,7.42,-30.55,-5.61,-12.22,0.09,-0.08,-0.01

15841,0.19,7.35,7.47,-30.61,-6.43,-11.75,-0.05,-0.75,-0.07

15904,-0.77,7.24,6.96,-31.48,-6.23,-11.60,-0.12,-0.01,-0.15

15969,-0.59,6.25,5.66,-31.51,-5.76,-11.78,-0.05,0.52,0.27

16031,0.52,7.29,7.67,-30.81,-4.68,-12.80,0.04,-0.08,-0.04

16094,0.08,6.86,5.74,-30.96,-5.12,-12.69,0.06,0.34,0.27

16154,0.57,7.45,5.45,-30.78,-4.24,-12.83,-0.26,0.32,0.67

16216,0.03,6.58,7.34,-30.96,-2.34,-13.07,-0.08,-0.03,0.14

16278,0.11,6.98,6.55,-30.52,-2.86,-13.33,0.15,-0.13,-0.09

16341,0.09,7.18,5.81,-30.23,-3.01,-12.89,-0.02,-0.11,0.11

16403,0.35,7.03,7.11,-30.69,-3.01,-13.04,0.09,0.17,-0.10

16465,0.00,6.86,6.31,-30.46,-3.27,-12.95,0.05,-0.14,-0.07

16527,0.09,6.88,6.64,-30.49,-3.01,-13.24,0.03,-0.11,-0.05

16601,0.04,6.95,6.31,-30.40,-2.98,-13.12,0.04,-0.05,-0.03

16652,0.02,6.87,6.74,-30.11,-2.86,-13.04,0.04,-0.14,-0.01

16714,0.04,6.98,6.79,-30.40,-3.13,-13.15,0.04,-0.07,-0.05

16777,0.02,6.88,6.51,-30.28,-3.07,-13.21,0.05,-0.05,-0.02

16839,0.03,6.94,6.55,-30.46,-2.75,-13.21,0.05,-0.05,-0.00

16902,0.09,7.00,6.58,-29.99,-3.19,-12.10,0.02,-0.11,-0.02

16964,0.00,6.78,6.15,-30.05,-2.57,-12.89,0.04,-0.06,0.01

17026,0.04,6.91,6.68,-29.93,-2.48,-12.98,0.07,-0.09,-0.02

17088,0.09,6.98,6.58,-29.99,-3.10,-12.92,0.03,-0.07,-0.00

17151,-0.10,6.81,6.48,-30.02,-2.98,-13.15,0.06,-0.01,0.04

17213,0.03,6.93,6.49,-30.02,-3.30,-14.18,0.04,-0.08,-0.01

17276,0.05,6.86,6.70,-30.43,-2.28,-13.36,0.06,-0.10,-0.03

17338,0.11,6.88,6.53,-30.17,-2.72,-13.65,0.04,-0.07,-0.08

17401,0.08,6.91,6.55,-29.87,-2.98,-13.36,0.05,-0.08,-0.01

17463,0.14,7.00,6.55,-30.61,-2.81,-14.15,0.06,-0.07,-0.00

17537,0.03,6.96,6.51,-29.87,-2.40,-13.33,0.04,-0.06,0.00

17587,0.08,6.90,6.63,-30.75,-2.84,-12.83,0.07,-0.09,-0.02

17649,0.03,6.90,6.63,-30.11,-2.72,-12.95,0.05,-0.08,-0.01

17712,0.06,6.88,6.68,-30.55,-2.75,-12.98,0.04,-0.10,-0.03

17774,0.09,6.82,6.58,-30.46,-2.31,-14.00,0.05,-0.08,-0.01

17837,0.05,6.89,6.49,-30.11,-2.86,-13.42,0.04,-0.08,-0.01

17898,0.12,6.90,6.56,-30.49,-2.69,-12.69,0.05,-0.08,-0.01

17961,0.05,6.91,6.66,-30.72,-2.98,-13.53,0.05,-0.08,-0.01

18023,0.08,6.98,6.70,-30.55,-2.95,-13.42,0.04,-0.08,-0.01

18086,0.04,6.96,6.60,-30.43,-2.13,-12.77,0.06,-0.08,-0.01

18148,0.02,6.91,6.65,-30.05,-2.69,-13.50,0.05,-0.08,-0.01

18211,0.10,6.94,6.46,-30.05,-2.72,-13.33,0.05,-0.08,-0.01

18273,0.13,6.93,6.53,-30.66,-3.10,-13.01,0.04,-0.08,-0.01

18335,0.09,6.88,6.58,-30.66,-2.66,-12.57,0.05,-0.08,-0.01

18398,0.04,6.86,6.51,-29.82,-3.04,-13.15,0.05,-0.08,-0.01

